,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.030604219436645506,0.0028907155914736356,0.013807201385498047,0.002511188658002124,3,8,4,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-109413.40518387036,-309341.5997263097,-189343.61962247553,-179882.53485044444,-143715.90260134402,-186339.4123968888,67697.30982772398,56
11,0.02706117630004883,0.0007605579788733669,0.012163019180297852,0.00047923447700079237,3,8,8,"{'decisiontreeregressor__max_depth': 3, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-112206.57339341333,-246868.11479617105,-191564.07501977452,-180226.8048591867,-138235.6978940476,-173820.25319251863,46377.544817159236,38
12,0.027494192123413086,0.0017540350805194034,0.011972808837890625,0.000736014343110849,4,1,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-89095.15934929273,-262574.4220580146,-210019.611955476,-220748.35009582673,-123659.9891459135,-181219.50652090472,64514.480873213215,47
13,0.02606792449951172,0.0005059822734137478,0.01120452880859375,0.00021824881007904086,4,1,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-90397.83178593949,-296619.9037334614,-183648.1333201121,-194094.80970368406,-172168.24516282004,-187385.78474120345,65771.28603787477,57
14,0.026319074630737304,0.000711088796452924,0.011597633361816406,0.0006583750752768444,4,1,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-91011.7625757761,-254116.57624651628,-189679.6167455864,-253757.6453901,-128213.19505022097,-183355.75920163994,65683.52316375604,50
15,0.028086376190185548,0.0020358993785036033,0.012243080139160156,0.0010696259144139897,4,2,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-90126.14162769011,-273093.79784353194,-181268.1988451099,-196277.32516691677,-128140.2340011003,-173781.1394968698,62460.21046751661,37
16,0.02580103874206543,0.00012513179203389296,0.011242866516113281,0.00018378982952260765,4,2,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-89182.5435457826,-305963.18296202895,-179851.14171452407,-231563.6099672009,-119605.86094267404,-185233.26782644208,77825.28954284369,54
17,0.027404308319091797,0.0023009895376380164,0.01200089454650879,0.0008112012625031373,4,2,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-91824.60418666781,-262937.8906189139,-211202.4475060967,-177700.00246607585,-126765.38623453966,-174086.06620245878,60483.92825227004,39
18,0.02747030258178711,0.0009534921162126594,0.011991548538208007,0.0003985379009705418,4,4,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-88179.99824529108,-260273.9074443155,-215751.1026125841,-170195.52679675107,-118557.81752147515,-170591.67052408337,62580.57277064402,35
19,0.027984046936035158,0.0014857679755380052,0.012285900115966798,0.00036328383968840875,4,4,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-89759.29491687908,-270814.22217349004,-177042.5196811794,-153268.13011611675,-128610.93055265871,-163899.0194880648,60759.4864225085,32
20,0.028682994842529296,0.0028633814484192934,0.011904668807983399,0.0007387012741946082,4,4,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-89189.19485538272,-262231.79074263916,-175667.38259453455,-171665.07891714905,-125342.73906698225,-164819.23723533755,58192.87001843012,33
21,0.027669858932495118,0.0033089626274158566,0.011917591094970703,0.0009871923306736276,4,8,2,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-89443.93732537614,-266825.24909187626,-165452.06078134163,-164841.35987070296,-127174.31676335518,-162747.38476653042,59131.61662008521,29
22,0.027178335189819335,0.0017931443765867759,0.011729955673217773,0.00045226821773350806,4,8,4,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-89719.38309881082,-246315.69052998058,-169546.010548117,-166768.64239174046,-122257.61710753212,-158921.46873523618,52811.695104110055,26
23,0.029395151138305663,0.002970776956338378,0.013548564910888673,0.0014778641160787405,4,8,8,"{'decisiontreeregressor__max_depth': 4, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-89342.3611803544,-235826.45541153097,-170016.07492036917,-166662.73007845352,-131820.66751079884,-158733.65782030142,48317.54062389701,25
24,0.02803049087524414,0.0012973964879057188,0.012234115600585937,0.0007276868375089908,5,1,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-83509.90386273195,-242068.63318283702,-223078.47631378687,-193648.8919470999,-109021.75916458815,-170265.5328942088,62879.2695148202,34
25,0.03484964370727539,0.004039563823214964,0.01584181785583496,0.002773897508050275,5,1,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-79071.28631797284,-228156.10806213523,-252025.46548981726,-197123.64449896596,-134011.81310099602,-178077.66349397745,63376.55609955194,43
26,0.037793540954589845,0.0016141436511383246,0.016331911087036133,0.0007002709298199884,5,1,8,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-80045.14980111526,-242569.65639572323,-278490.6963842706,-161889.72300499736,-178279.5467918929,-188254.95447559986,68697.26629076999,58
27,0.03320646286010742,0.004270665547763396,0.01385035514831543,0.0020843424219178235,5,2,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-84251.34805888313,-226591.77416479646,-173956.13545799212,-157780.30271275344,-111517.58237759766,-150819.42855440456,49600.71327804707,17
28,0.035386514663696286,0.009179257747733772,0.016967010498046876,0.006130011457636188,5,2,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-79383.53289674157,-256136.85333392216,-204308.47449276253,-154427.02599203982,-119651.85882299104,-162781.54910769145,62168.95641327003,30
