,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeregressor__max_depth,param_decisiontreeregressor__min_samples_leaf,param_decisiontreeregressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.05010242462158203,0.0025006807662138145,0.022809934616088868,0.0029917768545715227,5,2,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-278.8962376568688,-453.8495411509425,-486.95414134106557,-426.4491420041801,-327.9013639566885,-394.8100852219491,78.60026894004459,25
29,0.05265707969665527,0.004915658349827335,0.01995429992675781,0.002590157386035572,5,2,8,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-287.95746991323944,-503.87326456454457,-414.2336958844035,-428.4217402899401,-361.92406992474866,-399.28204811537523,71.83422058563627,32
30,0.04764580726623535,0.0027798126330165506,0.026326990127563475,0.004972273303627376,5,4,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-278.0533369324291,-472.0381839675491,-404.6412356935322,-385.72538624169795,-331.4553222451778,-374.38269301607727,65.88313139543303,12
31,0.04953722953796387,0.0020803214692022877,0.019748735427856445,0.003130594837110345,5,4,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 4}",-279.5101595885284,-477.8880399302346,-424.1719058012548,-377.78442302246214,-315.73334087233314,-375.01757384296263,71.61343875858026,13
32,0.0540682315826416,0.005166931010522644,0.021197128295898437,0.0032015135835928624,5,4,8,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 8}",-284.6927164689618,-472.60659112448246,-434.35152125803745,-399.3273936961149,-325.28791175966796,-383.2532268614529,69.17743880553512,19
33,0.04756598472595215,0.004919090039272407,0.021505260467529298,0.0037203919489755197,5,8,2,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 2}",-271.6441659599618,-484.50805483699696,-406.18858798899925,-368.8357406715824,-322.3022775092342,-370.6957653933549,72.6217410918779,8
34,0.04984602928161621,0.005135799152846375,0.020892906188964843,0.0015651007148593358,5,8,4,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 4}",-269.3589060665882,-510.76332786489587,-380.45531233758186,-372.56760998105796,-320.24063316064564,-370.6771578821539,80.66294355039597,7
35,0.05043148994445801,0.004302107488941458,0.020262670516967774,0.002385078908532098,5,8,8,"{'decisiontreeregressor__max_depth': 5, 'decisiontreeregressor__min_samples_leaf': 8, 'decisiontreeregressor__min_samples_split': 8}",-266.4404660446526,-489.66004824152645,-451.4146650184573,-370.20425508311354,-328.1520366760659,-381.1742942127632,80.99187786070175,18
36,0.04967803955078125,0.001597620432760783,0.02193560600280762,0.0026032557298423277,6,1,2,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 2}",-305.7722960621255,-481.00154456835236,-394.9330200745287,-405.1252894047716,-367.041514604722,-390.7747329429,56.837993080486186,20
37,0.056640243530273436,0.0019423251731966224,0.019829559326171874,0.003137241015280348,6,1,4,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 4}",-283.76266298835515,-502.38011807292645,-389.64787104843805,-373.4564909636108,-356.14293053623635,-381.0780147219133,70.62261174101175,17
38,0.05105857849121094,0.0031529447271633846,0.02152700424194336,0.0020689280589425924,6,1,8,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 1, 'decisiontreeregressor__min_samples_split': 8}",-280.7446838750868,-474.28947650324585,-440.23407146914536,-442.11457927721176,-365.8270134891645,-400.64196492277085,69.71213301875011,33
39,0.048389434814453125,0.0015894308072125134,0.01963529586791992,0.0018830530163279728,6,2,2,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 2}",-287.7603135664042,-496.84427803827543,-429.4224132632903,-427.5535654762114,-329.0456676778862,-394.12524760441346,75.44984091286626,24
40,0.05276069641113281,0.0031740212131014943,0.022309350967407226,0.002282256950683001,6,2,4,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 4}",-274.97056318622714,-463.9402621467297,-442.0069727076843,-377.33000131677954,-319.0858507956316,-375.46673003061045,71.46597043941281,14
41,0.0474853515625,0.002759907158183771,0.023602294921875,0.003293879309796995,6,2,8,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 2, 'decisiontreeregressor__min_samples_split': 8}",-296.07337110204475,-484.6043858319054,-426.3966615276225,-408.7247050164562,-340.1094848736949,-391.1817216703447,66.22630014142887,21
42,0.05132336616516113,0.004754656705306419,0.02180037498474121,0.0019473468723871243,6,4,2,"{'decisiontreeregressor__max_depth': 6, 'decisiontreeregressor__min_samples_leaf': 4, 'decisiontreeregressor__min_samples_split': 2}",-291.7526317470876,-471.84815544515305,-398.05743262406554,-408.58365545662804,-294.54266382093715,-372.9569078187743,69.88806545317043,10
